recipe_id,recipe_name,ingredients_joined
291,Chef John's Watermelon Agua Fresca,"1/2 seedless watermelon||2 cups cold water||1/2 cup white sugar, or to taste||1/2 cup water"
292,Green Gazpacho,"2 cups diced honeydew melon||1 English (seedless) cucumber, peeled and diced||1 small onion, diced||1 avocado - peeled, pitted, and chopped||1 jalapeno pepper, seeded and coarsely chopped||1 clove garlic, chopped||1/4 cup white balsamic vinegar||1 tablespoon lime juice, salt and freshly ground black pepper to taste"
293,Mojito Fruit Salad,1 cup cubed seeded watermelon||1 cup seedless grapes||1 cup cubed cantaloupe||1 cup hulled and quartered strawberries||1 cup peeled and quartered kiwi||1 cup fresh blueberries||3 sprigs fresh mint||2 teaspoons white sugar||3 tablespoons fresh lime juice
294,Watermelon Juice,"2 cups diced seedless watermelon||2 cups water||1 tablespoon white sugar, or more to taste"
295,Watermelon Gin and Tonic,"1/4 lime, juiced||1/4 cup chopped seedless watermelon||1/2 cup ice, or as needed||2 tablespoons gin, or to taste||2 cups tonic water"
296,Easy Watermelon Martini,"1 slice watermelon, rind removed||1/2 cup ice cubes, or as needed||1 (1.5 fluid ounce) jigger vodka"
297,Lemon Drop Shots,"3/4 fluid ounce vodka (such as Absolut®)||3/4 fluid ounce lemon juice||2 1/2 teaspoons white sugar, divided, or more to taste||1 lemon, cut into wedges"
298,Perfect Summer Fruit Salad,2/3 cup fresh orange juice||1/3 cup fresh lemon juice||1/3 cup packed brown sugar||1/2 teaspoon grated orange zest||1/2 teaspoon grated lemon zest||1 teaspoon vanilla extract
299,Perfect Lemon Curd,"3/4 cup fresh lemon juice||3/4 cup white sugar||1/2 cup unsalted butter, cubed||3 large eggs||1 tablespoon grated lemon zest"
300,Tom Collins Cocktail,"2 1/2 cups ice, divided||2 fluid ounces gin||3/4 fluid ounce lemon juice||1/2 fluid ounce simple syrup||2 fluid ounces club soda||1 lemon wedge"
301,Cornish Game Hens with Garlic and Rosemary,"4 Cornish game hens||3 tablespoons olive oil, divided, salt and pepper to taste||1 lemon, quartered||8 sprigs fresh rosemary, divided||24 cloves garlic||1/3 cup white wine||1/3 cup low-sodium chicken broth"
302,Easy Garlic-Lemon Scallops,3/4 cup butter||3 tablespoons minced garlic||2 pounds large sea scallops||2 tablespoons fresh lemon juice||1 teaspoon salt||1/8 teaspoon pepper
303,Greek-Style Lemon Roasted Potatoes,"3 pounds potatoes, peeled and cut into thick wedges||1/3 cup olive oil||2 lemons, juiced||2 teaspoons salt||1 teaspoon oregano||1/2 teaspoon ground black pepper||3 cups chicken broth"
304,Old-Fashioned Lemonade,"6 lemons||1 cup white sugar||6 cups water, or more as needed"
305,Easy Lemon-Pepper Chicken Wings,"2 cups oil, or as needed||2 tablespoons extra-virgin olive oil||1 tablespoon lemon-pepper seasoning||12 chicken wings"
306,Famous Chicken Française,"1 large egg, beaten||1 1/2 medium lemons, juiced, divided||1 cup all-purpose flour||1 pinch garlic powder||1 pinch paprika||6 skinless, boneless chicken breast halves||2 tablespoons butter||1 (14.5 ounce) can chicken broth||6 slices lemon, for garnish||2 sprigs fresh parsley, for garnish"
307,Lemon Icing,"1/2 cup unsalted butter, at room temperature||2 tablespoons lemon juice||1/2 teaspoon vanilla extract||3 cups confectioners' sugar"
308,The Best Lemon Vinaigrette,"1/4 cup red wine vinegar||2 tablespoons Dijon mustard||1 clove garlic, minced||1 teaspoon dried oregano||1/2 teaspoon kosher salt||1/4 teaspoon ground black pepper||1/2 cup olive oil||2 tablespoons fresh lemon juice"
309,Frog Eye Salad,"1 3/4 cups unsweetened pineapple juice||1 cup white sugar||2 eggs, beaten||2 tablespoons all-purpose flour||2 1/2 teaspoons salt, divided||1 tablespoon lemon juice||1 tablespoon vegetable oil||1 (16 ounce) package acini di pepe pasta||3 (11 ounce) cans mandarin oranges, drained||2 (20 ounce) cans pineapple tidbits, drained||1 (20 ounce) can crushed pineapple, drained||1 (8 ounce) container frozen whipped topping, thawed||1 cup miniature marshmallows||1 cup shredded coconut"
310,Air Fryer Lobster Tails with Lemon-Garlic Butter,"2 (4 ounce) lobster tails||4 tablespoons butter||1 teaspoon lemon zest||1 clove garlic, grated, salt and ground black pepper to taste||1 teaspoon chopped fresh parsley||2 wedges lemon"
311,Baked Fish Fillets,"1 tablespoon vegetable oil, or to taste||2 pounds mackerel fillets||1 teaspoon salt||1/8 teaspoon ground black pepper||1/4 cup butter, melted||2 tablespoons lemon juice||1/8 teaspoon ground paprika"
312,Vietnamese Grilled Lemongrass Chicken,"2 tablespoons canola oil||2 tablespoons finely chopped lemongrass||1 tablespoon lemon juice||2 teaspoons soy sauce||2 teaspoons light brown sugar||2 teaspoons minced garlic||1 teaspoon fish sauce||1 1/2 pounds chicken thighs, or more to taste, pounded to an even thickness"
313,Orange Crush! Fresh Squeezed Orange and Vodka Cocktail,"2 cups ice cubes, or as needed||2 fluid ounces orange-flavored vodka||1 fluid ounce triple sec liqueur||2 Valencia oranges, juiced||1 splash lemon-lime soda (such as Sprite®)||1 slice orange"
314,The Ultimate Berry Crumble,"2 cups all-purpose flour||3/4 cup white sugar||3/4 teaspoon baking powder||1/4 teaspoon fine salt||3/4 cup frozen unsalted butter||2 large egg yolks||1 1/2 teaspoons vanilla extract||1 teaspoon apple cider vinegar, or as needed"
315,Mandarin Orange Cake,"1 (15.25 ounce) package yellow cake mix||1 (11 ounce) can mandarin orange segments||4 large eggs||1 cup vegetable oil||1 (20 ounce) can crushed pineapple with juice||1 (8 ounce) container frozen whipped topping, thawed||1 (3.5 ounce) package instant vanilla pudding mix"
316,"Warm Lemon, Honey, and Ginger Soother","1/4 cup honey, or to taste||1 lemon, juiced||1 tablespoon finely grated ginger root||1/4 teaspoon ground cinnamon||3 1/2 cups boiling water"
317,Candied Lemon Peel,"3 lemons||8 cups cold water, or as needed||2 cups white sugar, or as needed"
318,Baked Salmon in Foil,"1/2 cup olive oil||5 cloves cloves garlic, minced or pressed through a garlic press||2 1/2 tablespoons fresh lemon juice, or more to taste||1 tablespoon brown sugar||1 teaspoon dried oregano||1 teaspoon dried thyme, salt and freshly ground black pepper to taste, aluminum foil||1 teaspoon olive oil||1 (3 pound) salmon fillet||1/4 cup chopped fresh parsley||1 lemon, sliced"
319,Cranberry Orange Bread,"2 cups flour||3/4 cup white sugar||1 1/2 teaspoons baking powder||3/4 teaspoon salt||1/2 teaspoon baking soda||1/4 cup unsalted butter, cut into pieces and softened||3/4 cup orange juice||1 tablespoon grated orange zest||1 large egg, beaten||1 cup chopped cranberries||1/2 cup chopped walnuts (Optional)"
320,Raspberry Jam without Pectin,4 cups mashed raspberries||4 cups white sugar||1 tablespoon freshly squeezed lemon juice
321,Fresh Orange Juice,4 oranges
322,Lemon Chicken Orzo Soup,"8 ounces orzo pasta||1 teaspoon olive oil||3 medium carrots, chopped, or more to taste||3 ribs celery, chopped||1 medium onion, chopped||2 cloves garlic, minced||1/2 teaspoon dried thyme||1/2 teaspoon dried oregano, salt and ground black pepper to taste||1 bay leaf||3 (32 ounce) cartons fat-free, low-sodium chicken broth||1/2 cup fresh lemon juice||1 lemon, zested||8 ounces cooked chicken breast, chopped||1 (8 ounce) package baby spinach leaves||1 lemon, sliced for garnish (Optional)||1/4 cup grated Parmesan cheese (Optional)"
323,Simple Lemon Cake,1 cup white sugar||1/2 cup butter||2 large eggs||2 teaspoons vanilla extract||1 1/2 cups all-purpose flour||1 3/4 teaspoons baking powder||3/4 cup milk||1 tablespoon lemon zest||1 tablespoon lemon juice
324,Greek Lemon Chicken Soup,"8 cups chicken broth||1/2 cup fresh lemon juice||1/2 cup shredded carrots||1/2 cup chopped onion||1/2 cup chopped celery||6 tablespoons chicken soup base||1/4 teaspoon ground white pepper||1/4 cup margarine||1/4 cup all-purpose flour||8 egg yolks||1 cup cooked white rice||1 cup diced, cooked chicken meat||16 slices lemon"
325,Lemon Cookies from Scratch,"1 cup white sugar||1/2 cup butter, softened||2 tablespoons fresh lemon zest||2 eggs||1 tablespoon fresh lemon juice||1/2 teaspoon vanilla extract||1 3/4 cups all-purpose flour||1 1/2 teaspoons baking powder||1/4 teaspoon salt||1/4 cup powdered sugar"
326,Orange Gelatin Salad,"1 (11 ounce) can mandarin oranges, drained||1 (8 ounce) can crushed pineapple, drained||1 (6 ounce) package orange flavored Jell-O® mix||16 ounces cottage cheese||8 ounces frozen whipped topping, thawed"
327,Quick and Easy Chicken,"2 tablespoons olive oil||1 onion, chopped||4 skinless, boneless chicken breast halves||3 tablespoons ketchup||3 tablespoons white sugar||2 tablespoons soy sauce||2 tablespoons lemon juice||1 teaspoon ground black pepper"
328,Parchment Baked Salmon,"1 (8 ounce) salmon fillet, salt and ground black pepper to taste||1/4 cup chopped basil leaves, olive oil cooking spray||1 lemon, thinly sliced"
329,Pan-Fried Shrimp,"8 tablespoons butter, divided||1 pound peeled and deveined bay shrimp||1 tablespoon lemon juice, divided||1 pinch garlic salt, or to taste, salt and ground black pepper to taste"
330,Chicken with Lemon-Caper Sauce,"1/2 cup all-purpose flour||1 pinch salt||2 (6 ounce) skinless, boneless chicken breast halves||2 tablespoons olive oil||1/4 cup dry white wine||1/4 cup lemon juice||1/4 cup cold unsalted butter, cut into pieces||2 tablespoons capers, drained||2 lemon wedges"
331,Butterflied Roast Chicken with Lemon and Rosemary,"1 tablespoon olive oil, or as needed||1 (3 pound) whole chicken, backbone removed, kosher salt and ground black pepper to taste||1 lemon, sliced into rounds||4 sprigs fresh rosemary||1/2 cup white wine"
332,Honey Lemon Tea,"1 cup water||2 teaspoons honey||1 teaspoon fresh lemon juice||1 teaspoon white sugar, or to taste"
333,Lemon Cream Cheese Frosting,"1 (8 ounce) package cream cheese, softened||1/4 cup butter||2 tablespoons lemon juice||2 teaspoons lemon zest||1 teaspoon vanilla extract||5 cups confectioners' sugar"
334,Lemon Cream Cheese Bars,"cooking spray||2 (8 ounce) packages refrigerated crescent roll dough (such as Pillsbury® Recipe Creations®), divided||2 lemons, zested and juiced, divided||2 (8 ounce) packages cream cheese, softened||1/2 cup white sugar||2 tablespoons butter, melted||3 tablespoons white sugar"
335,Lemon-Orange Orange Roughy,"1 tablespoon olive oil||4 (4 ounce) fillets orange roughy||1 orange, juiced||1 lemon, juiced||1/2 teaspoon lemon pepper"
336,Olive Oil Roasted Eggplant with Lemon,"1 large eggplant||3 tablespoons extra virgin olive oil, salt and pepper to taste||2 tablespoons fresh lemon juice"
337,Wine Sauce for Seafood,"3 tablespoons butter||2 tablespoons minced shallots||2 cloves garlic, minced||1 teaspoon dried tarragon||1/4 teaspoon salt||1/4 teaspoon white pepper||1/4 cup white wine||1 lemon, juiced||1 tablespoon fresh parsley"
338,Easy Lemon Cookies,1 (15.25 ounce) package lemon cake mix||2 large eggs||1/3 cup vegetable oil||1 teaspoon lemon extract||1/3 cup confectioners' sugar for decoration
339,Lemon Rosemary Salmon,"1 lemon, thinly sliced||4 sprigs fresh rosemary||2 salmon fillets, bones and skin removed, coarse salt to taste||1 tablespoon olive oil, or as needed"
340,Sautéed Swiss Chard with Parmesan Cheese,"2 tablespoons olive oil||2 tablespoons butter||1/2 small red onion, diced||1 tablespoon minced garlic||1 bunch Swiss chard, stems and center ribs cut out and chopped together, leaves coarsely chopped separately||1/2 cup dry white wine||1 tablespoon fresh lemon juice, or to taste||2 tablespoons freshly grated Parmesan cheese||1 pinch salt to taste"
341,Old Fashioned Cocktail,"1 sugar cube||1 teaspoon water||1 dash bitters||2 fluid ounces whiskey (rye or bourbon)||1 lemon twist||1/2 cup ice cubes, or as needed||1 orange slice, for garnish||1 maraschino cherry, for garnish"
342,Lemon Meringue Cheesecake,2 cups shortbread cookie crumbs||1/4 cup melted butter
343,Real Aioli,"4 large cloves fresh garlic, peeled and sliced||1/2 teaspoon kosher salt, or other course-grain salt||1 teaspoon lemon juice, or more to taste||1/2 cup light, extra-virgin olive oil||1 teaspoon water to adjust texture, or more as needed"
344,Amazing Lemon Scones,"3 cups all-purpose flour||1/3 cup white sugar||1 1/2 teaspoons baking powder||1 1/2 teaspoons baking soda||1/3 teaspoon salt||3/4 cup cold butter, cut into pieces||9 tablespoons milk||3 tablespoons lemon juice||2 1/2 teaspoons lemon zest||1 1/2 teaspoons vinegar"
345,Baked Banana Chips,"2 just-ripe bananas, sliced in 1/10-inch-thick rounds, or more as needed||1 teaspoon lemon juice, or to taste"
346,Lemon Garlic Chicken,"2 tablespoons butter||3 skinless, boneless chicken breast halves||1 1/2 teaspoons salt||1 1/2 teaspoons ground black pepper||2 tablespoons garlic powder, divided||1 lemon, juiced"
347,Slow Cooker Lemon Garlic Chicken,"1 teaspoon dried oregano||1/2 teaspoon salt||1/4 teaspoon ground black pepper||2 tablespoons butter||2 pounds skinless, boneless chicken breast halves||1/4 cup water||3 tablespoons fresh lemon juice||2 cloves garlic, minced||1 teaspoon chicken bouillon granules||1 teaspoon chopped fresh parsley"
348,Pear Jam,"4 1/2 cups mashed ripe pears||1/4 cup lemon juice||3 tablespoons powdered fruit pectin||1 teaspoon ground cinnamon||1/2 teaspoon ground cloves||1/2 teaspoon ground allspice||1/2 teaspoon ground nutmeg||7 1/2 cups white sugar||1 teaspoon butter||8 half-pint canning jars with lids and rings, or as needed"
349,Refreshing Cucumber Lemonade,"1 cup water||1/2 cup white sugar||1 cucumber, sliced||6 lemons, juiced"
350,Air-Fried Crumbed Fish,"1 cup dry bread crumbs||1/4 cup vegetable oil||4 flounder fillets||1 egg, beaten||1 lemon, sliced"
351,Mom's Peach Crisp,4 cups sliced fresh peaches||1/2 cup all-purpose flour||1/2 cup brown sugar||1/2 cup cold butter||1 teaspoon ground cinnamon||1/4 teaspoon salt||1 cup rolled oats
352,Peach Pie the Old Fashioned Two Crust Way,"1 (14.1 ounce) package pastry for a double-crust 9-inch pie||1 egg, beaten||5 cups sliced peeled peaches||2 tablespoons lemon juice||1 cup white sugar||1/2 cup all-purpose flour||1/2 teaspoon ground cinnamon||1/4 teaspoon ground nutmeg||1/4 teaspoon salt||2 tablespoons butter"
353,Peach Dump Cake,"2 (16 ounce) cans peaches in heavy syrup||1 (18.25 ounce) package yellow cake mix||1/2 cup butter||1/2 teaspoon ground cinnamon, or to taste"
354,Quick and Easy Peach Cobbler,"1/2 cup unsalted butter, melted||1 cup self-rising flour||1 cup white sugar||1 cup milk||2 (16 ounce) cans sliced peaches in heavy syrup"
355,Basic Fruit Smoothie,"1 quart strawberries, hulled||2 fresh peaches - peeled, pitted, and sliced||1 banana, broken into chunks||2 cups ice||1 cup orange-peach-mango juice"
356,Old Fashioned Peach Cobbler,"2 1/2 cups all-purpose flour||4 tablespoons white sugar, divided||1 teaspoon salt||1 cup shortening||1 large egg||1/4 cup cold water||1 tablespoon butter, melted"
357,Classic Bisquick Peach Cobbler,"1 cup Original Bisquick® mix||1 cup milk||1/2 teaspoon ground nutmeg||1/2 cup butter or margarine, melted||1 (29 ounce) can sliced peaches, drained||1 cup sugar"
358,3-Ingredient Cake Mix Cobbler,"2 (15.25 ounce) cans peaches in light syrup||1 (15.25 ounce) package yellow cake mix||1/2 cup butter, melted"
359,Easy Batter Fruit Cobbler,"4 tablespoons butter||3/4 cup all-purpose flour||3/4 cup sugar||1 teaspoon baking powder||1/4 teaspoon salt||3/4 cup milk||2 cups of sliced fresh peaches or nectarines, or whole blueberries, strawberries, raspberries, blackberries or a combination of fruits (or a 12-ounce package of frozen berries)||1 tablespoon sugar"
360,Peach Preserves,"12 fresh peaches, pitted and chopped||4 1/2 cups white sugar||1 (2 ounce) package dry pectin"
361,Georgia Peach Homemade Ice Cream,"2 1/2 pounds fresh peaches - peeled, pitted and chopped||1 pint half-and-half cream||1/2 cup white sugar||1 (14 ounce) can sweetened condensed milk||1 (12 fluid ounce) can evaporated milk||1 teaspoon vanilla extract||2 cups whole milk, or as needed"
362,Easy Peach Cobbler,"1 cup white sugar||1/2 cup butter, room temperature||1 cup self-rising flour||1 cup milk||1 (15 ounce) can peaches"
363,Peach Muffins,"3 cups all-purpose flour||1 tablespoon ground cinnamon||1 teaspoon baking soda||1 teaspoon salt||1 1/4 cups vegetable oil||3 eggs, lightly beaten||2 cups white sugar||2 cups peeled, pitted, and chopped peaches"
364,Peach Pie with Frozen Peaches,"2 sheets refrigerated pie crust||2 teaspoons all-purpose flour, or as needed||2 pounds sliced frozen peaches||1/2 cup white sugar||1 teaspoon lemon juice||1/2 teaspoon ground cinnamon||1/8 teaspoon salt||3 tablespoons cornstarch||1 large egg, beaten||1 tablespoon white sugar||1 tablespoon coarse sparkling sugar"
365,Award Winning Peaches and Cream Pie,"3/4 cup all-purpose flour||1/2 teaspoon salt||1 teaspoon baking powder||1 (3 ounce) package non-instant vanilla pudding mix||3 tablespoons butter, softened||1 egg||1/2 cup milk||1 (29 ounce) can sliced peaches, drained and syrup reserved||1 (8 ounce) package cream cheese, softened||1/2 cup white sugar||1 tablespoon white sugar||1 teaspoon ground cinnamon"
366,"Peaches and Cream, Literally","4 fresh peaches, or as needed||1/3 cup white sugar, or to taste||1/4 cup water||1 1/2 cups heavy cream"
367,Nana's Southern Pickled Peaches,"4 cups white sugar||1 cup white vinegar||1 cup water||2 tablespoons whole cloves||4 pounds fresh clingstone peaches, blanched and peeled||5 (3 inch) cinnamon sticks"
368,Blueberry and Peach Crisp,"2 (10 ounce) packages frozen sliced peaches(such as Cascadian Farm®), thawed and drained||1 (10 ounce) package frozen blueberries(such as Cascadian Farm®), thawed and drained||2 teaspoons lemon juice||2 tablespoons all-purpose flour||2 tablespoons white sugar"
369,Easy Peach Cobbler with Canned Peaches,"2 (29 ounce) cans sliced peaches in juice||2 cups all-purpose flour||1 cup sugar||3/4 cup unsalted butter, softened||1 cup chopped pecans"
370,Easy Fruit Cobbler,1 cup all-purpose flour||2 teaspoons baking powder||3/4 cup white sugar||3/4 cup milk||1/4 cup butter||2 cups sliced fresh peaches
371,Butter Biscuit Peach Cobbler,2 (29 ounce) cans peaches||3/4 cup white sugar||1/2 cup brown sugar||1/2 cup unsalted butter||1 tablespoon cornstarch||1 teaspoon vanilla extract||1 teaspoon ground cinnamon||1/2 teaspoon nutmeg||1 pinch salt||1 (16 ounce) can refrigerated buttermilk biscuit dough (such as Pillsbury Grands!®)||1 pinch ground cinnamon||1 pinch white sugar||1 pinch ground nutmeg||1 pastry for a 9-inch pie crust
372,Easy Peach Cobbler with Cake Mix,"12 fresh peaches, pitted and sliced||1 cup water||1 cup white sugar||1/2 teaspoon ground cinnamon||1 (18.25 ounce) package white cake mix||1 (8 ounce) package cream cheese||1/2 cup butter"
373,GA Peach Pound Cake,"1 cup butter or margarine, softened||2 cups white sugar||4 eggs||1 teaspoon vanilla extract||3 cups all-purpose flour||1 teaspoon baking powder||1/2 teaspoon salt||2 cups fresh peaches, pitted and chopped"
374,White Peachy Sangria,"4 (750 milliliter) bottles moscato wine||4 (12 fluid ounce) cans or bottles lemon-lime soda (such as Sprite®)||1 cup brandy||1 cup peach schnapps||2 fresh peaches, pitted and sliced||1 (16 ounce) package fresh strawberries, sliced||2 mangos - peeled, seeded, and sliced||1/2 fresh pineapple - peeled, cored, and cut into chunks||1 (6 ounce) container fresh raspberries"
375,Southern Peach Cobbler,1/2 cup butter||1 cup white sugar||3/4 cup self-rising flour||3/4 cup milk||1 (29 ounce) can sliced peaches in light syrup
376,Peach Ice Cream,"6 large eggs, beaten||3 1/2 cups white sugar||10 fresh peaches, pitted and chopped||4 cups heavy cream||2 cups half-and-half cream||2 teaspoons vanilla extract||3/4 teaspoon salt"
377,Crisp Peach Cobbler,"6 large fresh peaches, pitted and cut into eighths||1 lemon, zested and juiced"
378,Baked Peaches 'n Cream,"8 teaspoons brown sugar||2 tablespoons butter, cut into 8 pieces||1 pinch ground cinnamon, or more to taste||4 ripe peaches, halved and pitted||4 scoops vanilla ice cream"
379,Peach and Blackberry Cobbler,"4 cups peeled and sliced fresh peaches||1 cup fresh blackberries||1/4 cup white sugar||1 teaspoon ground cinnamon||1 tablespoon lemon juice||1/2 cup butter, melted||1 1/4 cups all-purpose flour||1 cup white sugar||2 teaspoons baking powder||1/2 teaspoon salt||1 cup milk"
380,Freezer Peach Pie Filling,2 1/2 cups sliced peaches||3/4 cup white sugar||1 tablespoon cornstarch||1 tablespoon MINUTE Tapioca||1 dash Dash of nutmeg
381,Peach Banana Smoothie,"1 cup plain yogurt||1 (15.25 ounce) can peaches||2 bananas, sliced||1/4 cup orange juice||1/4 cup white sugar, or to taste||2 cubes ice"
382,Peach Cake II,"3 egg, beaten||1 3/4 cups white sugar||1 cup vegetable oil||2 cups all-purpose flour||1 teaspoon salt||1 teaspoon ground cinnamon||1 teaspoon baking soda||2 cups fresh peaches - peeled, pitted, and sliced||1/2 cup chopped pecans"
383,Peach Upside Down Cake I,"1/4 cup butter||1/2 cup packed light brown sugar||1/4 teaspoon ground nutmeg||5 fresh peaches - peeled, pitted and halved||1/2 cup butter, softened||1/2 cup white sugar||1 egg||1 1/4 cups all-purpose flour||2 teaspoons baking powder||1/2 teaspoon salt||1/2 cup milk"
384,Peach Pie,"10 fresh peaches, pitted and sliced||1/3 cup all-purpose flour||1 cup white sugar||1/4 cup butter||1 recipe pastry for a 9 inch double crust pie"
385,Best Peach Cobbler Ever,"1 (29 ounce) can sliced peaches||2 tablespoons butter, melted||1 pinch ground cinnamon||1 pinch ground nutmeg||1 tablespoon cornstarch||1/2 cup water||1 cup milk||1 cup white sugar||1 cup all-purpose flour||2 teaspoons baking powder||1 pinch salt||1/2 cup butter||1 teaspoon ground cinnamon||1/4 teaspoon ground nutmeg"
386,Peach Cobbler VI,"1 cup all-purpose flour||1/2 cup brown sugar||1/2 cup white sugar||2 teaspoons baking powder||1/2 teaspoon salt||1 teaspoon vanilla extract||3/4 cup milk||1/2 cup margarine, melted||1 (29 ounce) can sliced canned peaches, drained||1 teaspoon ground cinnamon"
387,Easy Stovetop Peach Cobbler,1 (29 ounce) can sliced peaches||2 teaspoons ground cinnamon (Optional)||1/4 cup white sugar||1 (9 ounce) package yellow cake mix||4 teaspoons margarine
388,Single Crust Peach Pie,"3/4 cup white sugar||2 tablespoons butter, softened||1/3 cup all-purpose flour||1/4 teaspoon ground nutmeg||6 fresh peaches - pitted, skinned, and sliced||1 recipe pastry for a 9 inch single crust pie"
389,Fresh Peach Cobbler I,1/2 cup white sugar||1 tablespoon cornstarch||1/4 teaspoon ground cinnamon||4 cups sliced fresh peaches||1 teaspoon lemon juice
390,Marie's Peach Dump Cake,"1 (29 ounce) can sliced peaches in heavy syrup, undrained||1 (18.25 ounce) box yellow cake mix||3/4 cup butter, sliced into pats, or more if needed"
391,Peachy Bread Pudding with Caramel Sauce,"2 cups fresh peaches - peeled, pitted and halved||1 (14 ounce) can sweetened condensed milk||3 eggs, lightly beaten||1 1/4 cups hot water||1/4 cup butter, melted||1 teaspoon ground cinnamon||1 teaspoon vanilla extract||4 cups French bread, torn into small pieces"
392,Peach and Tomato Caprese Salad,"2 tablespoons extra-virgin olive oil||1 tablespoon balsamic vinegar||1 teaspoon flaked salt, divided||2 large heirloom tomatoes, thinly sliced||2 ripe peaches - halved, pitted, and sliced into half moons||6 leaves fresh basil||1 (8 ounce) ball fresh mozzarella, thinly sliced"
393,Baked Peaches,1 (16 ounce) package frozen peach slices||1/3 cup brown sugar substitute||1/4 cup pecans||1 tablespoon all-purpose flour||1 teaspoon vanilla extract
394,Banana Peach Bread,"3/4 cup white sugar||1/2 cup butter, softened||1 tablespoon brown sugar||1 tablespoon instant hot chocolate mix||3 bananas, peeled||1 large fresh peach - peeled, pitted, and diced||1/4 cup milk||2 eggs||1 tablespoon vanilla extract||2 cups all-purpose flour||1/2 cup chopped walnuts (Optional)||1 teaspoon baking soda||1 teaspoon salt"
395,Bananerberry Smoothie,"1 cup fresh strawberries||1 banana, sliced||1 cup fresh peaches||1 cup apples||1 1/2 cups vanilla ice cream||1 1/2 cups ice cubes||1/2 cup milk"
396,Grandma's Peach French Toast,"1 cup packed brown sugar||1/2 cup butter||2 tablespoons water||1 (29 ounce) can sliced peaches, drained||12 (3/4 inch thick) slices day-old French bread||5 eggs||1 tablespoon vanilla extract||1 pinch ground cinnamon, or to taste"
397,Fresh Peach Pie I,"1 (9 inch) pie shell, baked||1 cup white sugar||1/2 cup water||3 tablespoons cornstarch||1 tablespoon butter||2 cups fresh peaches, pitted and mashed||1/4 teaspoon ground nutmeg||1 teaspoon vanilla extract||4 cups fresh peaches - pitted, skinned, and sliced"
398,"Mango, Peach and Pineapple Salsa","2 mangos, peeled, seeded and chopped||2 small peaches, halved, pitted, and cut into 1/2-inch dice||1 cup diced fresh pineapple||4 tomatoes, chopped||1 white onion, diced||1 red bell pepper, diced||1 yellow bell pepper, diced||1 cup chopped fresh cilantro, or to taste||1 clove garlic, minced||1 small jalapeno pepper, minced||2 tablespoons lime juice||1 teaspoon salt||2 tablespoons white sugar, or to taste||3/4 cup water"
399,Grandma's Peach Cobbler,"3/4 cup unsalted butter, softened||1 (15 ounce) can peaches in heavy syrup||1 1/2 cups white sugar, divided||1/2 cup brown sugar||1 teaspoon ground cinnamon||1 teaspoon ground nutmeg||1/4 teaspoon vanilla extract||1 cup milk||1 cup all-purpose flour||1 tablespoon baking powder||1 pinch salt"
400,Homemade Peach Tea,"1 cup water||1 cup white sugar||2 slices fresh peach, or more to taste"
401,Spicy Peach Chutney,"4 pounds sliced peeled peaches||1 cup raisins||2 cloves garlic, minced||1/2 cup chopped onion||5 ounces chopped preserved ginger||1 1/2 tablespoons chili powder||1 tablespoon mustard seed||1 teaspoon curry powder||4 cups packed brown sugar||4 cups apple cider vinegar||1/4 cup pickling spice"
402,Pear Tarte Tatin,1 (15 ounce) package ready-to-use refrigerated pie crust||1/8 teaspoon ground nutmeg||1/2 teaspoon ground ginger||2 tablespoons white sugar||5 firm pears||2 tablespoons good quality bourbon whiskey||4 tablespoons unsalted butter||2/3 cup white sugar||1 pinch salt
403,Pear Sour Cream Pie,"1 (9 inch) pie crust pastry||1/2 cup white sugar||1 cup sour cream||1/4 cup all-purpose flour||1 egg, beaten||1 teaspoon vanilla extract||1/4 teaspoon salt||4 large pears - peeled, cored and sliced"
404,Sour Cream Pear Pie,"3/4 cup sugar||1 tablespoon all-purpose flour||1/4 teaspoon ground cinnamon||1 pinch salt||1 egg, beaten||1 cup sour cream||2 (15 ounce) cans pears, drained and chopped||1 (9 inch) graham cracker crust||1/2 cup sugar||2/3 cup butter||2/3 cup all-purpose flour"
405,Pear and Chocolate Tart,"1 shortcrust pastry crust||6 1/2 ounces 70% dark chocolate, chopped||1 1/2 cups ground almonds||2 eggs||1/2 cup superfine sugar||6 1/2 tablespoons butter, softened||3 pears - peeled, cored, and quartered"
406,Pear Pie III,"1 (9 inch) unbaked pie crust||2 pears - peeled, cored and cut in half||1 cup white sugar||1/4 cup butter||1/4 cup all-purpose flour||1 tablespoon vanilla extract||2 eggs, beaten"
407,Rustic Autumn Fruit Tart,"1/2 cup butter, chilled||1/2 cup cream cheese||1 1/2 cups all-purpose flour||2 apples - peeled, cored, and thinly sliced||1 pear - peeled, cored and sliced||1/4 cup orange juice||1/3 cup brown sugar||1/2 teaspoon ground cinnamon||1/4 teaspoon ground nutmeg||1/4 teaspoon ground cardamom||1 1/2 tablespoons cornstarch||1/2 cup apricot jam, warmed"
408,Cheddar Pear Pie,1/2 cup all-purpose flour||1/2 cup brown sugar||1/2 cup shredded Cheddar cheese||1/4 cup butter
409,Hasselback Pear Tart,"1 sheet frozen puff pastry - thawed, unfolded, and lightly rolled||2 Bartlett pears, halved and cored||2 d'Anjou pears, halved and cored||1 red pear, halved and cored||2 tablespoons white sugar||1/2 lemon, juiced||1/2 (8 ounce) package cream cheese, softened||1/2 cup confectioners' sugar||1/2 teaspoon vanilla extract||1 tablespoon turbinado sugar"
